token,source_count,target_count,cosine_before,cosine_after,delta
er,210,208,0.006223916302575766,0.2616660985661407,0.25544218226356497
robot,249,170,0.1188234920536628,0.314330311142968,0.1955068190893052
annie,632,283,0.038685480372441405,0.31975280449772725,0.28106732412528584
aha,338,276,-0.019943836768740036,0.3374619882459963,0.3574058250147364
crave,241,103,0.0894924853326334,0.34306255023788257,0.25357006490524914
daydream,177,258,0.06735139606128741,0.3431228675477097,0.2757714714864223
monster,457,280,0.046624641899287174,0.3479331129663844,0.30130847106709724
fred,229,257,0.03345213838978305,0.353873593703898,0.3204214553141149
cookie,145,236,-0.07024018967532542,0.3551964667227209,0.42543665639804634
donna,157,176,0.09151292201132395,0.35530109683358824,0.2637881748222643
yeh,356,275,0.11141537337334603,0.35715341574130843,0.2457380423679624
satellite,258,103,0.1274102979840121,0.36412584734598286,0.23671554936197076
duck,610,198,0.06920606399705805,0.3653994402779497,0.29619337628089165
sh,255,215,-0.037003700430949346,0.3692980050262302,0.4063017054571796
metal,1645,273,0.054825113277575215,0.37173698760950474,0.3169118743319295
camp,206,154,0.07966001107806865,0.379453532379424,0.29979352130135534
eah,102,176,0.05481374334936033,0.38426709147429405,0.3294533481249337
invisible,469,115,0.05377036393925877,0.38644605910220875,0.33267569516295
code,364,130,0.09679420892349988,0.39013643864578756,0.2933422297222877
judy,206,132,0.06781958388070648,0.39064323312125426,0.3228236492405478
charlie,457,378,0.05104388352041468,0.39178149183047073,0.34073760831005606
wee,575,569,0.0010189700750699894,0.39366448311874364,0.3926455130436736
louie,307,205,0.06118689877544721,0.3936880509662739,0.3325011521908267
um,362,281,0.053500527764860514,0.3944799909525083,0.34097946318764777
bobby,360,652,0.11201100238730487,0.3952387072429606,0.28322770485565574
louise,146,158,0.04223795230043734,0.3960753865645896,0.35383743426415226
chop,258,173,0.08999986902198218,0.3965369270494912,0.30653705802750897
pig,400,191,0.1343332043111147,0.3974261999572146,0.2630929956460999
freak,2294,808,-0.02851718293349283,0.39752814954694166,0.42604533248043447
mhm,199,270,0.17487016068109631,0.3978882363383707,0.2230180756572744
mo,431,206,-0.11537541071957196,0.3984814866187095,0.5138568973382814
george,543,327,0.07310961215110688,0.3999688054296307,0.3268591932785238
co,254,126,-0.06737584569434776,0.4004812842642788,0.4678571299586266
julie,246,184,0.09837653529307883,0.4012481421635289,0.30287160687045006
eddie,282,166,0.04731703519528392,0.40270540330549853,0.3553883681102146
greedy,226,207,-0.03127375689552063,0.40274462117184395,0.4340183780673646
mission,781,173,-0.014119945578891561,0.40318876504543516,0.41730871062432673
crack,1623,357,0.036395075247392356,0.4043235010895682,0.3679284258421759
nancy,253,108,0.060360832286777,0.40692252928768413,0.3465616970009071
dot,130,138,0.06891927272267881,0.4069499940246978,0.33803072130201894
wo,829,717,0.05699601009670814,0.4108098376721346,0.35381382757542645
al,311,115,0.05545599148779936,0.4117141447372188,0.35625815324941945
cuz,939,223,0.09625058578638279,0.41246648203595027,0.3162158962495675
request,316,101,0.09944586090068036,0.41303546715181394,0.3135896062511336
im,608,392,-0.017668948570905535,0.41334545405719025,0.43101440262809576
wizard,240,137,0.07858578695281071,0.4157301512891392,0.3371443643363285
skate,169,106,0.09987066074042354,0.4181370163395932,0.31826635559916966
harry,395,198,0.13925126729436088,0.4204915746682991,0.28124030737393824
rave,241,119,-0.011808402277158951,0.42052196624192384,0.4323303685190828
rebel,712,440,0.1326839539264849,0.4212066968339938,0.2885227429075089
fresh,2246,437,0.08743733337111195,0.4213142672906538,0.3338769339195419
jenny,302,256,0.06361352620638142,0.4218761735822103,0.3582626473758289
hu,184,150,0.17085545215099324,0.42356147663856164,0.2527060244875684
split,642,287,0.030806312395868903,0.4261246147393187,0.3953183023434498
ego,339,173,0.02415459261392555,0.42696052310826615,0.4028059304943406
ta,497,490,-0.09674727624372678,0.4278539783976379,0.5246012546413646
incredible,216,102,0.05069279380608202,0.4284481929965317,0.37775539919044965
disaster,438,136,0.03376293566422551,0.4285438752956544,0.3947809396314289
punch,481,127,0.044981337760945816,0.42880265433172365,0.38382131657077784
also,830,415,-7.2223624852495866e-06,0.42883132040280136,0.4288385427652866
lucifer,165,147,0.0864346773346302,0.42899639015184077,0.3425617128172106
dolls,171,107,0.016309321711944182,0.4306263791798182,0.41431705746787406
dangerous,1395,249,0.050172955560163504,0.43070013329442136,0.38052717773425787
crush,774,134,0.15812873344340134,0.43127884928478577,0.27315011584138443
smokey,113,137,0.13703531891989307,0.431957261895691,0.29492194297579793
romeo,458,158,0.06403574193379905,0.4325104859802399,0.36847474404644087
van,384,197,0.010082980376640224,0.4333948866462505,0.42331190626961024
killer,967,258,0.008183782576194475,0.4350984167098557,0.42691463413366126
demon,521,214,0.15511820343643049,0.43607606997722437,0.2809578665407939
suzie,119,109,0.17917872427281825,0.4379305441546836,0.25875181988186535
culture,322,100,0.06930647324689779,0.43835400105941796,0.36904752781252015
broom,139,100,0.11653809582494268,0.4389221349854563,0.3223840391605136
lightly,163,158,0.047385029218461536,0.43903890420617575,0.3916538749877142
ch,475,270,0.05481599957295036,0.43987004590263856,0.3850540463296882
deadly,719,170,0.1799745170291931,0.44030589266572195,0.26033137563652886
indian,368,385,0.025847491973754494,0.4406158995622259,0.41476840758847144
prime,406,167,0.11212358879787626,0.44062672708750056,0.3285031382896243
jamaica,501,283,0.12977785824394072,0.44088304996227956,0.31110519171833884
drug,613,137,0.0750038471106011,0.4415907390615525,0.3665868919509514
pussy,524,206,0.021035976654728627,0.442172742466469,0.42113676581174037
crash,754,296,0.07625169497738676,0.44235419207330684,0.3661024970959201
suicide,739,213,0.06165828442967875,0.44301266842690123,0.3813543839972225
jones,501,561,0.062149608050105457,0.4437113817879419,0.38156177373783645
dealer,169,107,0.06252193113249431,0.4446054396517728,0.38208350851927847
points,417,122,-0.0012037346107077948,0.44554241218014484,0.4467461467908526
jerry,267,167,0.015712905879398477,0.4461376234200084,0.4304247175406099
san,546,546,0.023403154353428768,0.44673170527207146,0.4233285509186427
granny,135,207,-0.0033361380799591042,0.44696507571396366,0.45030121379392274
nuff,345,200,-0.017059338582486754,0.44722964183973307,0.46428898042221983
rosie,142,270,0.06388094985863134,0.44744499388145387,0.3835640440228225
female,335,120,-0.07409176110381993,0.44843660765949545,0.5225283687633153
dan,201,233,0.008178439554366108,0.448806156949353,0.4406277173949869
mass,523,147,0.10592555126353223,0.4488646338889403,0.34293908262540806
tim,178,112,0.15077957770457798,0.4494218167760401,0.29864223907146215
china,519,256,0.06566637003203163,0.45027209694239423,0.3846057269103626
spanish,402,324,0.0013985027224067397,0.4515353180462977,0.450136815323891
buffalo,279,226,0.005519872284813236,0.4521861775736974,0.4466663052888842
rag,314,215,-0.04877171585053576,0.45248455367946283,0.5012562695299986
maggie,151,113,-0.030279911494966415,0.4526722287328148,0.4829521402277812
john,1335,1207,0.04064999485355463,0.45323483469701065,0.412584839843456
