axis_id,axis_label,label,target_count,mean_score,std_score,min_score,max_score
affection_vs_conflict,Affection vs Conflict,1960_1969,5,0.04728537481278181,0.04101051101937278,-0.0140443230047822,0.09376928210258484
affection_vs_conflict,Affection vs Conflict,1970_1979,5,0.06268400065600872,0.0663434711152424,-0.025007018819451332,0.12598338723182678
affection_vs_conflict,Affection vs Conflict,1980_1989,5,0.07411337606608867,0.08158333944877316,-0.02399626187980175,0.1774265468120575
affection_vs_conflict,Affection vs Conflict,1990_1999,5,0.10861895296256989,0.07852841208416743,-0.001407396630384028,0.20436160266399384
affection_vs_conflict,Affection vs Conflict,2000_2009,5,0.14365004748106003,0.06168249844909937,0.03835801035165787,0.2015180140733719
affection_vs_conflict,Affection vs Conflict,2010_2019,5,0.13614955618977548,0.08616340183924,0.020103078335523605,0.23264093697071075
permanence_vs_transience,Permanence vs Transience,1960_1969,5,0.028088374808430672,0.06764153723340759,-0.05579470843076706,0.1164042130112648
permanence_vs_transience,Permanence vs Transience,1970_1979,5,0.06072244718670845,0.049116922157662786,-0.008648823946714401,0.12559683620929718
permanence_vs_transience,Permanence vs Transience,1980_1989,5,0.04717248231172562,0.08939734339346063,-0.10472913086414337,0.1147553026676178
permanence_vs_transience,Permanence vs Transience,1990_1999,5,0.07676062248647213,0.03783240325882839,0.01250620000064373,0.10241512209177017
permanence_vs_transience,Permanence vs Transience,2000_2009,5,0.045800651982426645,0.07004622187895825,-0.05666599050164223,0.12000737339258194
permanence_vs_transience,Permanence vs Transience,2010_2019,5,0.0514477264136076,0.05585559384101484,-0.018264519050717354,0.12462130934000015
romance_vs_desire,Romance vs Desire/Sexuality,1960_1969,5,0.17231669276952744,0.09245916981266088,0.06128721684217453,0.2924516797065735
romance_vs_desire,Romance vs Desire/Sexuality,1970_1979,5,0.08671829795348458,0.07775985360127025,0.0002959716075565666,0.1999606341123581
romance_vs_desire,Romance vs Desire/Sexuality,1980_1989,5,0.05705815255641937,0.0712251609392474,-0.05920334905385971,0.13074205815792084
romance_vs_desire,Romance vs Desire/Sexuality,1990_1999,5,0.09139817506074906,0.09130748046318567,-0.03766293823719025,0.21835118532180786
romance_vs_desire,Romance vs Desire/Sexuality,2000_2009,5,0.10778633430600167,0.09626571888575063,-0.03049660101532936,0.22998788952827454
romance_vs_desire,Romance vs Desire/Sexuality,2010_2019,5,0.11390744163654745,0.09380378853792519,0.0017391301225870848,0.22849364578723907
