word1,word2,pair_label,start_label,end_label,start_similarity,end_similarity,delta_end_minus_start,similarity_range,mean_similarity,std_similarity
baby,desire,baby__desire,1960_1969,2010_2019,0.33748969435691833,0.20794379711151123,-0.1295458972454071,0.1295458972454071,0.25167090197404224,0.051355457731723536
baby,heart,baby__heart,1960_1969,2010_2019,0.3054541349411011,0.21790464222431183,-0.08754949271678925,0.10612083971500397,0.2919616873065631,0.03967683749839263
baby,kiss,baby__kiss,1960_1969,2010_2019,0.263989120721817,0.28247708082199097,0.01848796010017395,0.043289750814437866,0.2809634705384572,0.018152283032619256
baby,love,baby__love,1960_1969,2010_2019,0.408186674118042,0.3384894132614136,-0.06969726085662842,0.1392727792263031,0.41512859364350635,0.04635328252217627
desire,heart,desire__heart,1960_1969,2010_2019,0.3754361569881439,0.3046983480453491,-0.0707378089427948,0.09034425020217896,0.3264555484056473,0.03175506596576974
desire,kiss,desire__kiss,1960_1969,2010_2019,0.34595435857772827,0.21257901191711426,-0.133375346660614,0.15395891666412354,0.23855572193861008,0.05510746554771011
desire,love,desire__love,1960_1969,2010_2019,0.4067087769508362,0.33390626311302185,-0.07280251383781433,0.08608123660087585,0.35931892196337384,0.03002661392486952
heart,kiss,heart__kiss,1960_1969,2010_2019,0.32385796308517456,0.15044599771499634,-0.17341196537017822,0.17341196537017822,0.20689471314350763,0.06671867028019235
heart,love,heart__love,1960_1969,2010_2019,0.3476209342479706,0.36234986782073975,0.014728933572769165,0.11023631691932678,0.38189151386419934,0.04253150751144047
kiss,love,kiss__love,1960_1969,2010_2019,0.36039087176322937,0.3362462818622589,-0.02414458990097046,0.06465521454811096,0.3458288908004761,0.027037149151661027
