label,word1,word2,pair_label,similarity
1960_1969,baby,desire,baby__desire,0.33748969435691833
1970_1979,baby,desire,baby__desire,0.27764812111854553
1980_1989,baby,desire,baby__desire,0.21155528724193573
1990_1999,baby,desire,baby__desire,0.26254600286483765
2000_2009,baby,desire,baby__desire,0.21284250915050507
2010_2019,baby,desire,baby__desire,0.20794379711151123
1960_1969,baby,heart,baby__heart,0.3054541349411011
1970_1979,baby,heart,baby__heart,0.28088393807411194
1980_1989,baby,heart,baby__heart,0.3240254819393158
1990_1999,baby,heart,baby__heart,0.323385626077652
2000_2009,baby,heart,baby__heart,0.30011630058288574
2010_2019,baby,heart,baby__heart,0.21790464222431183
1960_1969,baby,kiss,baby__kiss,0.263989120721817
1970_1979,baby,kiss,baby__kiss,0.2663341760635376
1980_1989,baby,kiss,baby__kiss,0.2679600715637207
1990_1999,baby,kiss,baby__kiss,0.3072788715362549
2000_2009,baby,kiss,baby__kiss,0.29774150252342224
2010_2019,baby,kiss,baby__kiss,0.28247708082199097
1960_1969,baby,love,baby__love,0.408186674118042
1970_1979,baby,love,baby__love,0.426334023475647
1980_1989,baby,love,baby__love,0.4390442669391632
1990_1999,baby,love,baby__love,0.4777621924877167
2000_2009,baby,love,baby__love,0.4009549915790558
2010_2019,baby,love,baby__love,0.3384894132614136
1960_1969,desire,heart,desire__heart,0.3754361569881439
1970_1979,desire,heart,desire__heart,0.33149588108062744
1980_1989,desire,heart,desire__heart,0.28509190678596497
1990_1999,desire,heart,desire__heart,0.34499987959861755
2000_2009,desire,heart,desire__heart,0.31701111793518066
2010_2019,desire,heart,desire__heart,0.3046983480453491
1960_1969,desire,kiss,desire__kiss,0.34595435857772827
1970_1979,desire,kiss,desire__kiss,0.24313625693321228
1980_1989,desire,kiss,desire__kiss,0.19199544191360474
1990_1999,desire,kiss,desire__kiss,0.21680690348148346
2000_2009,desire,kiss,desire__kiss,0.22086235880851746
2010_2019,desire,kiss,desire__kiss,0.21257901191711426
1960_1969,desire,love,desire__love,0.4067087769508362
1970_1979,desire,love,desire__love,0.3206275403499603
1980_1989,desire,love,desire__love,0.36865857243537903
1990_1999,desire,love,desire__love,0.3614342212677002
2000_2009,desire,love,desire__love,0.36457815766334534
2010_2019,desire,love,desire__love,0.33390626311302185
1960_1969,heart,kiss,heart__kiss,0.32385796308517456
1970_1979,heart,kiss,heart__kiss,0.1955590844154358
1980_1989,heart,kiss,heart__kiss,0.15391027927398682
1990_1999,heart,kiss,heart__kiss,0.24377574026584625
2000_2009,heart,kiss,heart__kiss,0.17381921410560608
2010_2019,heart,kiss,heart__kiss,0.15044599771499634
1960_1969,heart,love,heart__love,0.3476209342479706
1970_1979,heart,love,heart__love,0.33211567997932434
1980_1989,heart,love,heart__love,0.38887450098991394
1990_1999,heart,love,heart__love,0.4423519968986511
2000_2009,heart,love,heart__love,0.4180361032485962
2010_2019,heart,love,heart__love,0.36234986782073975
1960_1969,kiss,love,kiss__love,0.36039087176322937
1970_1979,kiss,love,kiss__love,0.31933942437171936
1980_1989,kiss,love,kiss__love,0.31245455145835876
1990_1999,kiss,love,kiss__love,0.3771097660064697
2000_2009,kiss,love,kiss__love,0.3694324493408203
2010_2019,kiss,love,kiss__love,0.3362462818622589
