axis_id,axis_label,target,start_label,end_label,start_score,end_score,delta_end_minus_start,score_range,mean_score,std_score
affection_vs_conflict,Affection vs Conflict,baby,1960_1969,2010_2019,0.0548095740377903,0.23264093697071075,0.17783136293292046,0.17783136293292046,0.15954876753191152,0.06288650610558794
affection_vs_conflict,Affection vs Conflict,desire,1960_1969,2010_2019,0.09376928210258484,0.10521212965250015,0.011442847549915314,0.11643077433109283,0.09724839528401692,0.03798469849407099
affection_vs_conflict,Affection vs Conflict,heart,1960_1969,2010_2019,-0.0140443230047822,0.020103078335523605,0.034147401340305805,0.0633650291711092,-0.0009989852745396395,0.02557294756420503
affection_vs_conflict,Affection vs Conflict,kiss,1960_1969,2010_2019,0.031946878880262375,0.11298464238643646,0.08103776350617409,0.15184295177459717,0.07600569600860278,0.05778117347224554
affection_vs_conflict,Affection vs Conflict,love,1960_1969,2010_2019,0.06994546204805374,0.20980699360370636,0.13986153155565262,0.13986153155565262,0.1452805499235789,0.05647000116634093
permanence_vs_transience,Permanence vs Transience,baby,1960_1969,2010_2019,-0.020818067714571953,0.01848844811320305,0.039306515827775,0.09392776899039745,0.029489226018389065,0.031555492202386175
permanence_vs_transience,Permanence vs Transience,desire,1960_1969,2010_2019,0.1164042130112648,0.12462130934000015,0.008217096328735352,0.050244756042957306,0.10876331230004628,0.01841163222458411
permanence_vs_transience,Permanence vs Transience,heart,1960_1969,2010_2019,0.056831244379282,0.04691145941615105,-0.009919784963130951,0.07868537679314613,0.08472959448893864,0.029962807908907853
permanence_vs_transience,Permanence vs Transience,kiss,1960_1969,2010_2019,-0.05579470843076706,-0.018264519050717354,0.037530189380049706,0.1172353308647871,-0.03859949546555678,0.04223161936053017
permanence_vs_transience,Permanence vs Transience,love,1960_1969,2010_2019,0.04381919279694557,0.08548193424940109,0.04166274145245552,0.06204439327120781,0.07394428364932537,0.02586524653929749
romance_vs_desire,Romance vs Desire/Sexuality,baby,1960_1969,2010_2019,0.14299707114696503,0.08317483961582184,-0.05982223153114319,0.0673222541809082,0.09362625454862912,0.0249348321196371
romance_vs_desire,Romance vs Desire/Sexuality,desire,1960_1969,2010_2019,0.12598401308059692,0.0017391301225870848,-0.12424488295800984,0.18518736213445663,0.005642670633581777,0.06731938858613715
romance_vs_desire,Romance vs Desire/Sexuality,heart,1960_1969,2010_2019,0.06128721684217453,0.06427012383937836,0.002982906997203827,0.08772724392474629,0.057374290670850314,0.031091186877255143
romance_vs_desire,Romance vs Desire/Sexuality,kiss,1960_1969,2010_2019,0.2388634830713272,0.19185946881771088,-0.04700401425361633,0.15095165371894836,0.15101318061351776,0.05658083740394663
romance_vs_desire,Romance vs Desire/Sexuality,love,1960_1969,2010_2019,0.2924516797065735,0.22849364578723907,-0.06395803391933441,0.16170962154865265,0.21666451543569565,0.05239402267725877
